Designator,Part,Manufacturer,Package,LCSC,Note
U1,AP63205WU-7,Diodes Inc,TSOT-23-6,C2071056,"3.8-32V in, 5V/2A sync buck"
L1,SWPA6045S6R8MT,Sunlord,6045,C57254,6.8uH 3A power inductor
C1,CL21A106KAYNNNE,Samsung,0805,C15850,10uF 25V X5R
C3,CL10B104KB8NNNC,Samsung,0603,C1591,100nF 50V X7R
"C4,C5",CL31A226KAHNNNE,Samsung,1206,C12891,22uF 25V X5R
C7,RGA471M1CBK-0811,Lelon,D8xL11.5 P3.5 THT,C134593,"470uF 16V radial, bulk for servo stalls"
R3,0603WAF2202T5E,UniOhm,0603,C31850,22k 1% (~0.14 mA: dim power LED)
R4,0603WAF1001T5E,UniOhm,0603,C21190,"1k 1% (HC-SR04 ECHO divider, series)"
R5,0603WAF2001T5E,UniOhm,0603,C22975,"2k 1% (HC-SR04 ECHO divider, to GND)"
D1,XL-1608SYGC-06,XINGLIGHT,0603,C965805,"green LED, power indicator"
J1,HX PZ2.54-2x8P WC-A,hanxia,2x8 2.54mm RIGHT-ANGLE THT,C41417356,"plugs into StickS3 HAT2 socket, stick lies flat"
"J2,J3,J4,J5,J6,J7",2.54-1*3P,BOOMELE,1x3 2.54mm vertical THT,C49257,servo / encoder headers
"J8,J10",B-2100S04P-A110,Ckmtw,1x4 2.54mm vertical THT,C124378,COLOR (V G - A0) / DIST (HC-SR04) headers
J11,DC-005 2.0,BOOMELE,5.5x2.1 barrel jack THT,C16214,"battery box plugs in, center = +6V (PJ-102A pattern)"
