Designator,Mid X,Mid Y,Layer,Rotation
C1,53.600000mm,-65.600000mm,Top,0
C3,61.500000mm,-60.400000mm,Top,0
C4,68.600000mm,-66.000000mm,Top,90
C5,81.800000mm,-67.700000mm,Top,0
C7,72.700000mm,-63.200000mm,Top,0
D1,92.700000mm,-74.400000mm,Top,90
J1,57.500000mm,-55.500000mm,Top,0
J2,57.300000mm,-76.200000mm,Top,0
J3,66.100000mm,-76.200000mm,Top,0
J4,74.900000mm,-76.200000mm,Top,0
J5,83.700000mm,-76.200000mm,Top,0
J6,57.300000mm,-71.000000mm,Top,0
J7,66.100000mm,-71.000000mm,Top,0
J8,74.900000mm,-71.000000mm,Top,0
J10,83.700000mm,-71.000000mm,Top,0
J11,86.000000mm,-64.000000mm,Top,90
L1,63.700000mm,-65.300000mm,Top,0
R3,92.700000mm,-71.300000mm,Top,90
U1,56.600000mm,-61.800000mm,Top,0
