Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF/25V","C_0805_2012Metric",53.600000,-65.600000,0.000000,top
"C3","100nF","C_0603_1608Metric",61.500000,-60.400000,0.000000,top
"C4","22uF/25V","C_1206_3216Metric",68.600000,-66.000000,90.000000,top
"C5","22uF/25V","C_1206_3216Metric",81.800000,-67.700000,0.000000,top
"C7","470uF/16V","CP_Radial_D8.0mm_P3.50mm",72.700000,-63.200000,0.000000,top
"D1","GREEN","LED_0603_1608Metric",92.700000,-74.400000,90.000000,top
"J1","HAT2_StickS3","PinHeader_2x08_P2.54mm_Horizontal",57.500000,-55.500000,90.000000,top
"J2","SERVO_A","PinHeader_1x03_P2.54mm_Vertical",57.300000,-76.200000,90.000000,top
"J3","SERVO_B","PinHeader_1x03_P2.54mm_Vertical",66.100000,-76.200000,90.000000,top
"J4","HEAD_PAN","PinHeader_1x03_P2.54mm_Vertical",74.900000,-76.200000,90.000000,top
"J5","HEAD_TILT","PinHeader_1x03_P2.54mm_Vertical",83.700000,-76.200000,90.000000,top
"J6","ENC_A","PinHeader_1x03_P2.54mm_Vertical",57.300000,-71.000000,90.000000,top
"J7","ENC_B","PinHeader_1x03_P2.54mm_Vertical",66.100000,-71.000000,90.000000,top
"J8","COLOR_A","PinHeader_1x03_P2.54mm_Vertical",74.900000,-71.000000,90.000000,top
"J10","COLOR_B","PinHeader_1x03_P2.54mm_Vertical",83.700000,-71.000000,90.000000,top
"J11","DC_6V_5525","BarrelJack_Horizontal",86.000000,-64.000000,-90.000000,top
"L1","6.8uH","L_Bourns_SRN6045TA",63.700000,-65.300000,0.000000,top
"R3","1k","R_0603_1608Metric",92.700000,-71.300000,90.000000,top
"U1","AP63205","TSOT-23-6",56.600000,-61.800000,180.000000,top
